hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,15,11,,HIT,-0.4864336275278702,101823
hard,16,2,,STAND,-0.28978231183227277,100695
hard,16,3,,STAND,-0.2521733255258798,90094
hard,16,4,,STAND,-0.2088237552515818,92204
hard,16,5,,STAND,-0.16311453627424868,76221
hard,16,6,,STAND,-0.15727581067283206,86145
hard,16,7,,HIT,-0.41346102114381134,131775
hard,16,8,,HIT,-0.45952266117127716,138321
hard,16,9,,HIT,-0.5110940651723039,140680
hard,16,10,,STAND,-0.539947228137841,528507
hard,16,11,,HIT,-0.5190187014713307,100333
hard,17,2,,STAND,-0.15418150558761987,98772
hard,17,3,,STAND,-0.11764902283755652,90873
hard,17,4,,STAND,-0.07791803346759216,97444
hard,17,5,,STAND,-0.04745482805517785,83324
hard,17,6,,STAND,0.006051588403157909,91057
hard,17,7,,STAND,-0.1039329518142823,146626
hard,17,8,,STAND,-0.38252179889759347,149909
hard,17,9,,STAND,-0.4234623454063605,146354
hard,17,10,,STAND,-0.41930269144897087,536100
hard,17,11,,STAND,-0.47884506229703266,108608
hard,18,2,,STAND,0.12395688456189026,81359
hard,18,3,,STAND,0.15085410895660212,70125
hard,18,4,,STAND,0.16749535977022365,74537
hard,18,5,,STAND,0.1967781519319684,70929
hard,18,6,,STAND,0.28272980501393036,74835
hard,18,7,,STAND,0.4048949379178648,126935
hard,18,8,,STAND,0.10227043593983015,125242
hard,18,9,,STAND,-0.18762714926439836,128534
hard,18,10,,STAND,-0.1775216552180298,464156
hard,18,11,,STAND,-0.10111967519903561,95559
hard,19,2,,STAND,0.3802518488906623,75855
hard,19,3,,STAND,0.40108548168249775,59655
hard,19,4,,STAND,0.42028257807160796,72477
hard,19,5,,STAND,0.43756971556050983,58037
hard,19,6,,STAND,0.4934670024231491,63911
hard,19,7,,STAND,0.620034827389842,122379
hard,19,8,,STAND,0.5933807869526836,124754
hard,19,9,,STAND,0.2876221299993869,116042
hard,19,10,,STAND,0.06728332400294729,434745
hard,19,11,,STAND,0.28492852944764774,91069
hard,20,2,,STAND,0.6380139982502204,9242
hard,20,3,,STAND,0.6576449912126552,8631
hard,20,4,,STAND,0.6518518518518535,5052
hard,20,5,,STAND,0.6585365853658535,2824
hard,20,6,,STAND,0.7197785296831753,3278
hard,20,7,,STAND,0.7748559340579175,55260
hard,20,8,,STAND,0.7912247124689206,56416
hard,20,9,,STAND,0.7569518878799456,49876
hard,20,10,,STAND,0.556742108158144,225403
hard,20,11,,STAND,0.6523251270027358,51593
hard,21,2,,STAND,0.8817025981205107,9125
hard,21,3,,STAND,0.8772087451332724,3399
hard,21,4,,STAND,0.8854007146503319,3971
hard,21,5,,STAND,0.9037974683544314,2390
hard,21,6,,STAND,0.9049090284929617,2955
hard,21,7,,STAND,0.9296488970930986,54079
hard,21,8,,STAND,0.929921001856648,55422
hard,21,9,,STAND,0.9393247529953658,49864
hard,21,10,,STAND,0.9619463765531315,169606
hard,21,11,,STAND,0.9228405976483127,45597
pair,10,2,,STAND,0.6364150226563079,109912
pair,10,3,,STAND,0.6479435607717574,109448
pair,10,4,,STAND,0.6599940715489901,109868
pair,10,5,,STAND,0.6708350252870127,110315
pair,10,6,,STAND,0.7011882032365135,109823
pair,10,7,,STAND,0.7725186006015512,109239
pair,10,8,,STAND,0.788770450704752,109607
pair,10,9,,STAND,0.7560119819710543,109117
pair,10,10,,STAND,0.5593770931011502,395085
pair,10,11,,STAND,0.6545852231555769,75864
pair,2,2,,HIT,-0.1330472103004292,6237
pair,2,3,,SPLIT,-0.0301950487621906,16099
pair,2,4,,HIT,-0.04050173794771039,6774
pair,2,5,,HIT,-0.04015880287066727,6862
pair,2,6,,SPLIT,0.07123873727879705,15988
pair,2,7,,SPLIT,-0.0032445248642914925,16150
pair,2,8,,SPLIT,-0.10031718390447202,16240
pair,2,9,,SPLIT,-0.19041999305796586,15116
pair,2,10,,SPLIT,-0.23593172263587006,59765
pair,2,11,,HIT,-0.26657025789346833,4971
pair,3,2,,SPLIT,-0.066505733252866,16853
pair,3,3,,SPLIT,-0.06467998645445318,14900
pair,3,4,,SPLIT,-0.01498320847326273,15751
pair,3,5,,SPLIT,0.07163024797446609,16497
pair,3,6,,SPLIT,0.06404932678998307,16067
pair,3,7,,SPLIT,-0.03337581163905546,16651
pair,3,8,,SPLIT,-0.13334168807569372,16183
pair,3,9,,HIT,-0.3024017467248909,6519
pair,3,10,,SPLIT,-0.26344720601625504,60085
pair,3,11,,SPLIT,-0.24879183819581185,7877
pair,4,2,,HIT,-0.014939605848696783,6871
pair,4,3,,HIT,0.0034129692832764813,8038
pair,4,4,,DOUBLE,-0.048788694481830513,6057
pair,4,5,,DOUBLE,0.06195244055068782,6809
pair,4,6,,HIT,0.11098952634047227,6675
pair,4,7,,HIT,0.09835809225957773,6721
pair,4,8,,SPLIT,-0.15747640337804297,16343
pair,4,9,,SPLIT,-0.22919142017384808,16162
pair,4,10,,HIT,-0.24709609292502682,30615
pair,4,11,,HIT,-0.18454150468785735,4525
pair,5,2,,DOUBLE,0.3785703257681018,6582
pair,5,3,,HIT,0.2012810559006215,8765
pair,5,4,,DOUBLE,0.4636678200692043,6645
pair,5,5,,DOUBLE,0.5649415692821356,6103
pair,5,6,,DOUBLE,0.602938852899354,6671
pair,5,7,,HIT,0.24954296160877582,6694
pair,5,8,,HIT,0.17259758582849996,6493
pair,5,9,,DOUBLE,0.15353968740422946,6659
pair,5,10,,HIT,0.0206953301789754,24776
pair,5,11,,HIT,0.07958700795870088,4763
pair,6,2,,SPLIT,-0.1048298572996701,16580
pair,6,3,,SPLIT,-0.05812617189862696,16715
pair,6,4,,SPLIT,-0.030657677140313082,15877
pair,6,5,,STAND,-0.17240314863404815,6606
pair,6,6,,SPLIT,0.056623269270510604,14716
pair,6,7,,HIT,-0.223284502698535,6677
pair,6,8,,SPLIT,-0.20179428860247625,16020
pair,6,9,,SPLIT,-0.29512804497189393,16156
pair,6,10,,SPLIT,-0.3500429627083662,59031
pair,6,11,,SPLIT,-0.3018934390136493,11449
pair,7,2,,STAND,-0.27552447552447445,6578
pair,7,3,,SPLIT,-0.01893963387597403,16050
pair,7,4,,SPLIT,0.018129588254069517,16090
pair,7,5,,STAND,-0.166947207345065,6724
pair,7,6,,SPLIT,0.08088972012557623,15467
pair,7,7,,SPLIT,-0.010610079575596803,14505
pair,7,8,,SPLIT,-0.17796976241900664,16482
pair,7,9,,SPLIT,-0.27196141871680546,16529
pair,7,10,,SPLIT,-0.3032010630961019,60008
pair,7,11,,SPLIT,-0.31145648312610996,11346
pair,8,2,,SPLIT,0.004556519568066911,16172
pair,8,3,,STAND,-0.23539282990083832,6663
pair,8,4,,SPLIT,0.10468730573169227,16211
pair,8,5,,SPLIT,0.12440072224643577,16472
pair,8,6,,SPLIT,0.19177565392354143,16041
pair,8,7,,SPLIT,0.13839037927844694,16338
pair,8,8,,SPLIT,-0.024613899613899665,14808
pair,8,9,,SPLIT,-0.20124795541285498,16659
pair,8,10,,SPLIT,-0.23429255381918043,59977
pair,8,11,,SPLIT,-0.18863073700247576,10920
pair,9,2,,STAND,0.106824469720258,6722
pair,9,3,,STAND,0.15185014586212173,6662
pair,9,4,,STAND,0.16485534976274255,6651
pair,9,5,,STAND,0.20926921860170863,6661
pair,9,6,,STAND,0.2795328642012271,6845
pair,9,7,,STAND,0.412625800548946,6687
pair,9,8,,STAND,0.08799876275904721,6812
pair,9,9,,STAND,-0.1556758530183732,6211
pair,9,10,,STAND,-0.1722647156634521,24590
pair,9,11,,STAND,-0.094855305466238,4460
pair,A,2,,SPLIT,0.24134095964410548,12742
pair,A,3,,SPLIT,0.27327303913924805,12924
pair,A,4,,SPLIT,0.28681454097350756,13100
pair,A,5,,HIT,0.16187948798001944,6683
pair,A,6,,SPLIT,0.33005042546486024,12783
pair,A,7,,SPLIT,0.2257387247278388,12959
pair,A,8,,SPLIT,0.16682156133828982,13066
pair,A,9,,SPLIT,0.10913665670702932,13005
pair,A,10,,SPLIT,0.08874548699008197,48562
pair,A,11,,SPLIT,0.05820563519525451,8254
soft,13,2,,HIT,0.043352826510721275,13073
soft,13,3,,DOUBLE,0.013684709708014327,14932
soft,13,4,,HIT,0.11342297002929469,13678
soft,13,5,,DOUBLE,0.14644504649630286,14331
soft,13,6,,HIT,0.15545036701653214,14939
soft,13,7,,HIT,0.10942853227353727,14905
soft,13,8,,HIT,0.04321988114532677,15021
soft,13,9,,HIT,-0.029225589225589155,15187
soft,13,10,,HIT,-0.11177662935300696,55457
soft,13,11,,HIT,-0.06822000672118253,9111
soft,14,2,,HIT,0.015750915750915716,16127
soft,14,3,,HIT,0.05856716874378762,14368
soft,14,4,,HIT,0.07749808331203686,15906
soft,14,5,,DOUBLE,0.1399813606710169,15525
soft,14,6,,HIT,0.13714358614530747,16008
soft,14,7,,HIT,0.06066666666666656,16120
soft,14,8,,HIT,0.0017032427120864792,15793
soft,14,9,,HIT,-0.07490409852614587,15034
soft,14,10,,HIT,-0.1445124243770712,59239
soft,14,11,,HIT,-0.10818684078352579,10093
soft,15,2,,HIT,-0.0023184410050754987,16364
soft,15,3,,HIT,0.032348901098900984,14780
soft,15,4,,HIT,0.07269308086375717,15777
soft,15,5,,DOUBLE,0.14991884314593498,15109
soft,15,6,,DOUBLE,0.14519940915805016,16057
soft,15,7,,HIT,0.035202252944188606,15818
soft,15,8,,HIT,-0.034595605423094804,17326
soft,15,9,,HIT,-0.12729082498975253,17318
soft,15,10,,HIT,-0.17807324547448797,60647
soft,15,11,,HIT,-0.13469464218808525,10811
soft,16,2,,HIT,-0.02562249888839497,18229
soft,16,3,,DOUBLE,0.007477850930667315,17477
soft,16,4,,DOUBLE,0.06976230774891484,18414
soft,16,5,,DOUBLE,0.14606654828997181,15366
soft,16,6,,HIT,0.10778995960761702,17552
soft,16,7,,HIT,-0.0242403550699897,18399
soft,16,8,,HIT,-0.07162229479160864,18373
soft,16,9,,HIT,-0.15550791556728216,18404
soft,16,10,,HIT,-0.21588158904433002,68577
soft,16,11,,HIT,-0.1737105107139836,11941
soft,17,2,,HIT,0.0018315018315018488,20633
soft,17,3,,DOUBLE,0.051303098707161855,18492
soft,17,4,,HIT,0.05564537157757482,19660
soft,17,5,,DOUBLE,0.22742523705324552,15057
soft,17,6,,DOUBLE,0.2639993820962388,18120
soft,17,7,,HIT,0.060806681605214886,19869
soft,17,8,,HIT,-0.08277203301394534,21310
soft,17,9,,HIT,-0.14533653167771915,21696
soft,17,10,,HIT,-0.20510327122797442,77991
soft,17,11,,HIT,-0.1822832919163859,13886
soft,18,2,,STAND,0.11876138433515517,22335
soft,18,3,,DOUBLE,0.20663213829286245,20206
soft,18,4,,STAND,0.18967195561179695,22446
soft,18,5,,DOUBLE,0.2930900015598184,17337
soft,18,6,,DOUBLE,0.3974174050415539,21233
soft,18,7,,STAND,0.39572808650181757,22883
soft,18,8,,STAND,0.11001183832234014,23954
soft,18,9,,HIT,-0.10270913962488847,23990
soft,18,10,,HIT,-0.154999086090293,88216
soft,18,11,,STAND,-0.09861788617886175,15581
soft,19,2,,STAND,0.38279699767060715,24053
soft,19,3,,STAND,0.39845209500933954,19475
soft,19,4,,STAND,0.42195385724585704,22705
soft,19,5,,STAND,0.44840771601415264,18242
soft,19,6,,STAND,0.4849543506614496,22184
soft,19,7,,STAND,0.6194944944944953,24365
soft,19,8,,STAND,0.5921263248972548,23371
soft,19,9,,STAND,0.288265996520395,26135
soft,19,10,,STAND,0.0654905621908175,94167
soft,19,11,,STAND,0.2725190367114479,16333
soft,20,2,,STAND,0.6483833469668908,23494
soft,20,3,,STAND,0.6624661406194764,17199
soft,20,4,,STAND,0.6565738124074828,22550
soft,20,5,,STAND,0.6745401614397241,15321
