hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,15,11,,HIT,-0.510371808674265,105605
hard,16,2,,STAND,-0.2805958819622387,106591
hard,16,3,,STAND,-0.24945442679121305,99213
hard,16,4,,STAND,-0.1998850519660916,105475
hard,16,5,,STAND,-0.16187013343395143,88424
hard,16,6,,STAND,-0.12496191614521059,86277
hard,16,7,,HIT,-0.41907643359450614,136032
hard,16,8,,HIT,-0.4570766218634757,133847
hard,16,9,,HIT,-0.5086986935036233,134848
hard,16,10,,STAND,-0.5395090224883878,518475
hard,16,11,,HIT,-0.5420672478206765,103813
hard,17,2,,STAND,-0.15500728128150346,108323
hard,17,3,,STAND,-0.1189955755483052,95774
hard,17,4,,STAND,-0.08172195444664902,106950
hard,17,5,,STAND,-0.048304235909918315,93896
hard,17,6,,STAND,-0.012398559868489503,87358
hard,17,7,,STAND,-0.1021739130434775,147397
hard,17,8,,STAND,-0.3850841051366299,145341
hard,17,9,,STAND,-0.42216399714413116,150070
hard,17,10,,STAND,-0.419219507083661,520764
hard,17,11,,STAND,-0.5172404559370819,113269
hard,18,2,,STAND,0.11282684058992916,86087
hard,18,3,,STAND,0.1411960999009329,77567
hard,18,4,,STAND,0.1592299219610516,86284
hard,18,5,,STAND,0.1989450924765553,73433
hard,18,6,,STAND,0.22203368260297782,71574
hard,18,7,,STAND,0.40283919937118534,127265
hard,18,8,,STAND,0.10209669171157758,128275
hard,18,9,,STAND,-0.18763853495981633,133980
hard,18,10,,STAND,-0.17754402291269492,447236
hard,18,11,,STAND,-0.2213466551686555,101836
hard,19,2,,STAND,0.37332626439474204,81974
hard,19,3,,STAND,0.39594589265291824,76920
hard,19,4,,STAND,0.41327094219717564,81419
hard,19,5,,STAND,0.4358912261278686,58470
hard,19,6,,STAND,0.44686815011623926,76109
hard,19,7,,STAND,0.6177509408991294,122124
hard,19,8,,STAND,0.5911815251498391,118156
hard,19,9,,STAND,0.28529980657639836,120134
hard,19,10,,STAND,0.06660357325310008,429079
hard,19,11,,STAND,0.19371548038817893,97064
hard,20,2,,STAND,0.6292266121375879,13824
hard,20,3,,STAND,0.6450563204005,4040
hard,20,4,,STAND,0.6630028242118939,13223
hard,20,5,,STAND,0.6625074272133096,3400
hard,20,6,,STAND,0.6890119498688416,3468
hard,20,7,,STAND,0.7759225057479977,53494
hard,20,8,,STAND,0.7910173786388394,50524
hard,20,9,,STAND,0.7594849944423879,54499
hard,20,10,,STAND,0.5552405914361336,212301
hard,20,11,,STAND,0.6018098706704301,54225
hard,21,2,,STAND,0.8753750288483757,13130
hard,21,3,,STAND,0.8931564245810054,4348
hard,21,4,,STAND,0.889537931550963,13483
hard,21,5,,STAND,0.8967786629719452,2911
